,point,date,dpt_mean,dpt_median,dpt_sd,dpt_min,dpt_max
0,Rozegat 1,2019-02-21T00:00:00,4.9590277671813965,5.0,1.651616,1.5,8.5
1,Rozegat 1,2022-04-15T00:00:00,4.976388931274414,5.0,1.5772978,2.0,8.0
2,Rozegat 1,2023-03-18T00:00:00,4.976851940155029,5.0,1.5806766,1.5,8.0
3,Rozegat 2,2019-02-21T00:00:00,4.7715277671813965,5.0,1.6567062,1.0,8.0
4,Rozegat 2,2022-04-15T00:00:00,4.782407283782959,5.0,1.5797813,1.5,8.0
5,Rozegat 2,2023-03-18T00:00:00,4.784722328186035,5.0,1.591266,1.5,8.0
6,Rozegat 3,2019-02-21T00:00:00,4.6659722328186035,4.5,1.6566014,1.0,8.0
7,Rozegat 3,2022-04-15T00:00:00,4.6759257316589355,4.5,1.5848893,1.5,8.0
8,Rozegat 3,2023-03-18T00:00:00,4.6754631996154785,4.5,1.5834794,1.5,8.0
9,Meaban 1,2019-02-20T00:00:00,9.33055591583252,9.5,1.3324621,6.5,12.0
10,Meaban 1,2022-03-24T00:00:00,9.353471755981445,9.5,1.2933007,6.5,12.0
11,Meaban 1,2023-03-15T00:00:00,9.353240966796875,9.5,1.2732064,7.0,12.0
12,Glenan 2,2019-02-19T00:00:00,11.342129707336426,11.5,1.2254376,9.0,13.5
13,Glenan 2,2022-03-26T00:00:00,11.358333587646484,11.5,1.1985041,9.0,14.0
14,Glenan 2,2023-03-16T00:00:00,11.358564376831055,11.5,1.1778318,9.0,14.0
15,Saint-Brieuc 1,2019-02-25T00:00:00,24.070138931274414,24.0,2.4885502,19.0,29.5
16,Saint-Brieuc 1,2022-03-29T00:00:00,24.094907760620117,24.0,2.40279,19.0,29.0
17,Saint-Brieuc 1,2023-03-21T00:00:00,24.102313995361328,24.0,2.3997867,19.0,29.0
18,Saint-Brieuc 2,2019-02-25T00:00:00,11.466203689575195,11.5,2.4747365,6.0,16.5
19,Saint-Brieuc 2,2022-03-29T00:00:00,11.509259223937988,11.5,2.3983805,6.5,16.5
20,Saint-Brieuc 2,2023-03-21T00:00:00,11.511343002319336,11.5,2.3886278,6.5,16.5
21,Saint-Brieuc 3,2019-02-25T00:00:00,20.071990966796875,20.0,2.4862638,15.0,25.5
22,Saint-Brieuc 3,2022-03-29T00:00:00,20.098148345947266,20.0,2.4001536,15.5,25.0
23,Saint-Brieuc 3,2023-03-21T00:00:00,20.10578727722168,20.0,2.3954604,15.0,25.0
24,Belle-ile 1,2019-02-20T00:00:00,7.242361068725586,7.5,1.3039069,4.5,9.5
25,Belle-ile 1,2022-03-25T00:00:00,7.265740871429443,7.5,1.2606885,4.5,10.0
26,Belle-ile 1,2023-03-15T00:00:00,7.262268543243408,7.5,1.2351291,4.5,10.0
27,Belle-ile 2,2019-02-20T00:00:00,7.242361068725586,7.5,1.3039069,4.5,9.5
28,Belle-ile 2,2022-03-25T00:00:00,7.265740871429443,7.5,1.2606885,4.5,10.0
29,Belle-ile 2,2023-03-15T00:00:00,7.262268543243408,7.5,1.2351291,4.5,10.0
30,Belle-ile 3,2019-02-20T00:00:00,7.242361068725586,7.5,1.3039069,4.5,9.5
31,Belle-ile 3,2022-03-25T00:00:00,7.265740871429443,7.5,1.2606885,4.5,10.0
32,Belle-ile 3,2023-03-15T00:00:00,7.262268543243408,7.5,1.2351291,4.5,10.0
33,Camaret 1,2019-02-22T00:00:00,22.969213485717773,23.0,1.5685277,19.5,26.0
34,Camaret 1,2022-03-27T00:00:00,22.978010177612305,23.0,1.5112549,20.0,26.0
35,Camaret 1,2023-03-18T00:00:00,22.980323791503906,23.0,1.494111,20.0,26.0
36,Camaret 3,2019-02-22T00:00:00,17.520139694213867,17.5,1.5681101,14.0,21.0
37,Camaret 3,2022-03-27T00:00:00,17.52430534362793,17.5,1.5138977,14.5,20.5
38,Camaret 3,2023-03-18T00:00:00,17.525232315063477,17.5,1.495576,14.5,20.5
39,Molene 1,2019-02-22T00:00:00,14.902777671813965,15.0,1.6688296,11.5,18.0
40,Molene 1,2022-03-27T00:00:00,14.92523193359375,15.0,1.6164913,11.5,18.0
41,Molene 1,2023-03-19T00:00:00,14.927546501159668,15.0,1.5974388,11.5,18.0
42,Molene 2,2019-02-22T00:00:00,14.902777671813965,15.0,1.6688296,11.5,18.0
43,Molene 2,2022-03-27T00:00:00,14.92523193359375,15.0,1.6164913,11.5,18.0
44,Molene 2,2023-03-19T00:00:00,14.927546501159668,15.0,1.5974388,11.5,18.0
45,Morlaix 1,2019-02-12T00:00:00,16.971759796142578,17.0,1.9840542,12.5,21.0
46,Morlaix 1,2022-03-02T00:00:00,16.984952926635742,17.0,1.9948151,13.0,21.0
47,Morlaix 1,2023-02-20T00:00:00,16.98796272277832,17.0,1.972694,13.0,21.0
48,Morlaix 2,2019-02-12T00:00:00,8.609722137451172,8.5,1.9972198,4.5,12.5
49,Morlaix 2,2022-03-02T00:00:00,8.610648155212402,8.5,2.0047462,4.5,12.5
50,Morlaix 2,2023-02-20T00:00:00,8.613426208496094,8.5,1.9806601,4.5,12.5
51,Morlaix 3,2019-02-12T00:00:00,8.609722137451172,8.5,1.9972198,4.5,12.5
52,Morlaix 3,2022-03-02T00:00:00,8.610648155212402,8.5,2.0047462,4.5,12.5
53,Morlaix 3,2023-02-20T00:00:00,8.613426208496094,8.5,1.9806601,4.5,12.5
54,Trevignon 1,2019-02-19T00:00:00,12.70069408416748,12.5,1.2207217,10.0,15.0
55,Trevignon 1,2022-03-25T00:00:00,12.725462913513184,12.5,1.1977409,10.5,15.0
56,Trevignon 1,2023-03-16T00:00:00,12.728009223937988,12.5,1.1786008,10.5,15.0
57,Trevignon 2,2019-02-19T00:00:00,12.70069408416748,12.5,1.2207217,10.0,15.0
58,Trevignon 2,2022-03-25T00:00:00,12.725462913513184,12.5,1.1977409,10.5,15.0
59,Trevignon 2,2023-03-16T00:00:00,12.728009223937988,12.5,1.1786008,10.5,15.0
60,Meaban 2,2019-02-20T00:00:00,9.33055591583252,9.5,1.3324621,6.5,12.0
61,Meaban 2,2022-03-24T00:00:00,9.353471755981445,9.5,1.2933007,6.5,12.0
62,Meaban 2,2023-03-15T00:00:00,9.353240966796875,9.5,1.2732064,7.0,12.0
63,Keraliou 1,2019-02-21T00:00:00,5.186342716217041,5.0,1.6314682,1.5,8.5
64,Keraliou 1,2022-04-15T00:00:00,5.196759223937988,5.0,1.5523096,2.0,8.5
65,Keraliou 1,2023-03-18T00:00:00,5.192592620849609,5.0,1.559229,2.0,8.5
66,Keraliou 2,2019-02-21T00:00:00,5.325694561004639,5.5,1.6230578,1.5,8.5
67,Keraliou 2,2022-04-15T00:00:00,5.333796501159668,5.5,1.5499153,2.0,8.5
68,Keraliou 2,2023-03-18T00:00:00,5.334259033203125,5.5,1.5611256,2.0,8.5
69,Keraliou 3,2019-02-21T00:00:00,5.823611259460449,6.0,1.6211559,2.5,9.0
70,Keraliou 3,2022-04-15T00:00:00,5.831250190734863,6.0,1.5486315,2.5,9.0
71,Keraliou 3,2023-03-18T00:00:00,5.8317131996154785,6.0,1.5591838,2.5,9.0
72,Glenan 1,2019-02-19T00:00:00,8.656481742858887,8.5,1.2125137,6.0,11.0
73,Glenan 1,2022-03-26T00:00:00,8.6796293258667,8.5,1.1864012,6.5,11.0
74,Glenan 1,2023-03-16T00:00:00,8.677778244018555,8.5,1.1711686,6.5,11.0
75,Glenan 3,2019-02-19T00:00:00,15.641203880310059,15.5,1.2219886,13.0,18.0
76,Glenan 3,2022-03-26T00:00:00,15.663888931274414,15.5,1.1976024,13.5,18.0
77,Glenan 3,2023-03-16T00:00:00,15.663888931274414,15.5,1.1783116,13.5,18.0
78,Camaret 2,2019-02-22T00:00:00,17.520139694213867,17.5,1.5681101,14.0,21.0
79,Camaret 2,2022-03-27T00:00:00,17.52430534362793,17.5,1.5138977,14.5,20.5
80,Camaret 2,2023-03-18T00:00:00,17.525232315063477,17.5,1.495576,14.5,20.5
81,Molene 3,2019-02-22T00:00:00,14.902777671813965,15.0,1.6688296,11.5,18.0
82,Molene 3,2022-03-27T00:00:00,14.92523193359375,15.0,1.6164913,11.5,18.0
83,Molene 3,2023-03-19T00:00:00,14.927546501159668,15.0,1.5974388,11.5,18.0
84,Trevignon 3,2019-02-19T00:00:00,15.616898536682129,15.5,1.2212875,13.0,18.0
85,Trevignon 3,2022-03-25T00:00:00,15.64398193359375,15.5,1.1961013,13.0,18.0
86,Trevignon 3,2023-03-16T00:00:00,15.643518447875977,15.5,1.1771374,13.0,18.0
87,Meaban 3,2019-02-20T00:00:00,9.33055591583252,9.5,1.3324621,6.5,12.0
88,Meaban 3,2022-03-24T00:00:00,9.353471755981445,9.5,1.2933007,6.5,12.0
89,Meaban 3,2023-03-15T00:00:00,9.353240966796875,9.5,1.2732064,7.0,12.0
