,point,date,vabr_mean,vabr_median,vabr_sd,vabr_min,vabr_max
0,Rozegat 1,2019-02-21T00:00:00,0.016185183078050613,0.009999999776482582,0.009989947080612183,0.0,0.08999999612569809
1,Rozegat 1,2022-04-15T00:00:00,0.014861110597848892,0.009999999776482582,0.010054442100226879,0.0,0.09999999403953552
2,Rozegat 1,2023-03-18T00:00:00,0.01834259182214737,0.019999999552965164,0.011127760633826256,0.0,0.08999999612569809
3,Rozegat 2,2019-02-21T00:00:00,0.015768516808748245,0.009999999776482582,0.010099602863192558,0.0,0.08999999612569809
4,Rozegat 2,2022-04-15T00:00:00,0.014023148454725742,0.009999999776482582,0.010290656238794327,-0.009999999776482582,0.09999999403953552
5,Rozegat 2,2023-03-18T00:00:00,0.0166944433003664,0.009999999776482582,0.011792934499680996,-0.009999999776482582,0.08999999612569809
6,Rozegat 3,2019-02-21T00:00:00,0.001013888861052692,0.0,0.004688420332968235,-0.009999999776482582,0.04999999701976776
7,Rozegat 3,2022-04-15T00:00:00,0.0006203703815117478,0.0,0.004952024668455124,-0.029999999329447746,0.05999999865889549
8,Rozegat 3,2023-03-18T00:00:00,0.003023147815838456,0.0,0.007684726268053055,-0.019999999552965164,0.04999999701976776
9,Meaban 1,2019-02-20T00:00:00,0.2222638726234436,0.1899999976158142,0.12050747126340866,0.04999999701976776,0.5899999737739563
10,Meaban 1,2022-03-24T00:00:00,0.24405093491077423,0.22999998927116394,0.1275177001953125,0.03999999910593033,0.5600000023841858
11,Meaban 1,2023-03-15T00:00:00,0.24771295487880707,0.22999998927116394,0.1256396621465683,0.05999999865889549,0.7699999809265137
12,Glenan 2,2019-02-19T00:00:00,-0.11522220820188522,-0.08999999612569809,0.08414573967456818,-0.5,0.0
13,Glenan 2,2022-03-26T00:00:00,-0.16066202521324158,-0.14000000059604645,0.10175395011901855,-0.5,-0.009999999776482582
14,Glenan 2,2023-03-16T00:00:00,-0.13038426637649536,-0.09999999403953552,0.0909043550491333,-0.5999999642372131,0.009999999776482582
15,Saint-Brieuc 1,2019-02-25T00:00:00,-0.16244442760944366,-0.14000000059604645,0.10799882560968399,-0.6399999856948853,-0.019999999552965164
16,Saint-Brieuc 1,2022-03-29T00:00:00,-0.1976296305656433,-0.1599999964237213,0.13239647448062897,-0.7799999713897705,-0.019999999552965164
17,Saint-Brieuc 1,2023-03-21T00:00:00,-0.1573009192943573,-0.12999999523162842,0.09111745655536652,-0.5600000023841858,-0.019999999552965164
18,Saint-Brieuc 2,2019-02-25T00:00:00,-0.2122129648923874,-0.17999999225139618,0.1416872888803482,-0.8700000047683716,-0.019999999552965164
19,Saint-Brieuc 2,2022-03-29T00:00:00,-0.26475462317466736,-0.2199999988079071,0.1743154227733612,-0.9899999499320984,-0.029999999329447746
20,Saint-Brieuc 2,2023-03-21T00:00:00,-0.2079351842403412,-0.17999999225139618,0.11788174510002136,-0.7299999594688416,-0.029999999329447746
21,Saint-Brieuc 3,2019-02-25T00:00:00,-0.18582408130168915,-0.1599999964237213,0.12318897992372513,-0.7299999594688416,-0.019999999552965164
22,Saint-Brieuc 3,2022-03-29T00:00:00,-0.22558332979679108,-0.17999999225139618,0.14992260932922363,-0.85999995470047,-0.029999999329447746
23,Saint-Brieuc 3,2023-03-21T00:00:00,-0.18131481111049652,-0.14999999105930328,0.10406520217657089,-0.6200000047683716,-0.029999999329447746
24,Belle-ile 1,2019-02-20T00:00:00,-0.29629164934158325,-0.25,0.1761493980884552,-0.8399999737739563,-0.04999999701976776
25,Belle-ile 1,2022-03-25T00:00:00,-0.3387777805328369,-0.3100000023841858,0.1903974562883377,-0.8999999761581421,-0.03999999910593033
26,Belle-ile 1,2023-03-15T00:00:00,-0.3096481263637543,-0.2800000011920929,0.16385479271411896,-1.0299999713897705,-0.04999999701976776
27,Belle-ile 2,2019-02-20T00:00:00,-0.29629164934158325,-0.25,0.1761493980884552,-0.8399999737739563,-0.04999999701976776
28,Belle-ile 2,2022-03-25T00:00:00,-0.3387777805328369,-0.3100000023841858,0.1903974562883377,-0.8999999761581421,-0.03999999910593033
29,Belle-ile 2,2023-03-15T00:00:00,-0.3096481263637543,-0.2800000011920929,0.16385479271411896,-1.0299999713897705,-0.04999999701976776
30,Belle-ile 3,2019-02-20T00:00:00,-0.29629164934158325,-0.25,0.1761493980884552,-0.8399999737739563,-0.04999999701976776
31,Belle-ile 3,2022-03-25T00:00:00,-0.3387777805328369,-0.3100000023841858,0.1903974562883377,-0.8999999761581421,-0.03999999910593033
32,Belle-ile 3,2023-03-15T00:00:00,-0.3096481263637543,-0.2800000011920929,0.16385479271411896,-1.0299999713897705,-0.04999999701976776
33,Camaret 1,2019-02-22T00:00:00,-0.007472221739590168,0.0,0.013747025281190872,-0.07000000029802322,0.019999999552965164
34,Camaret 1,2022-03-27T00:00:00,0.0013611111789941788,0.0,0.00925458688288927,-0.03999999910593033,0.03999999910593033
35,Camaret 1,2023-03-18T00:00:00,0.017120368778705597,0.009999999776482582,0.011178035289049149,0.0,0.05999999865889549
36,Camaret 3,2019-02-22T00:00:00,-0.06081018224358559,-0.04999999701976776,0.04279625415802002,-0.20999999344348907,-0.009999999776482582
37,Camaret 3,2022-03-27T00:00:00,-0.05749073624610901,-0.04999999701976776,0.040082089602947235,-0.19999998807907104,0.0
38,Camaret 3,2023-03-18T00:00:00,-0.040111105889081955,-0.03999999910593033,0.023416252806782722,-0.1899999976158142,0.0
39,Molene 1,2019-02-22T00:00:00,-0.28813424706459045,-0.25999999046325684,0.27208366990089417,-1.1999999284744263,0.8999999761581421
40,Molene 1,2022-03-27T00:00:00,-0.35487037897109985,-0.32999998331069946,0.3614804446697235,-1.4800000190734863,0.7599999904632568
41,Molene 1,2023-03-19T00:00:00,-0.18595370650291443,-0.23999999463558197,0.3478453755378723,-1.149999976158142,0.6599999666213989
42,Molene 2,2019-02-22T00:00:00,-0.28813424706459045,-0.25999999046325684,0.27208366990089417,-1.1999999284744263,0.8999999761581421
43,Molene 2,2022-03-27T00:00:00,-0.35487037897109985,-0.32999998331069946,0.3614804446697235,-1.4800000190734863,0.7599999904632568
44,Molene 2,2023-03-19T00:00:00,-0.18595370650291443,-0.23999999463558197,0.3478453755378723,-1.149999976158142,0.6599999666213989
45,Morlaix 1,2019-02-12T00:00:00,-0.23135647177696228,-0.1899999976158142,0.16370807588100433,-1.0199999809265137,-0.019999999552965164
46,Morlaix 1,2022-03-02T00:00:00,-0.2827546298503876,-0.2199999988079071,0.19764341413974762,-1.1999999284744263,-0.019999999552965164
47,Morlaix 1,2023-02-20T00:00:00,-0.2079305499792099,-0.17000000178813934,0.15292102098464966,-0.8799999952316284,-0.009999999776482582
48,Morlaix 2,2019-02-12T00:00:00,-0.32927313446998596,-0.2800000011920929,0.21694506704807281,-1.2300000190734863,-0.03999999910593033
49,Morlaix 2,2022-03-02T00:00:00,-0.41435185074806213,-0.3400000035762787,0.26321524381637573,-1.46999990940094,-0.029999999329447746
50,Morlaix 2,2023-02-20T00:00:00,-0.33443519473075867,-0.2800000011920929,0.22229599952697754,-1.100000023841858,-0.009999999776482582
51,Morlaix 3,2019-02-12T00:00:00,-0.32927313446998596,-0.2800000011920929,0.21694506704807281,-1.2300000190734863,-0.03999999910593033
52,Morlaix 3,2022-03-02T00:00:00,-0.41435185074806213,-0.3400000035762787,0.26321524381637573,-1.46999990940094,-0.029999999329447746
53,Morlaix 3,2023-02-20T00:00:00,-0.33443519473075867,-0.2800000011920929,0.22229599952697754,-1.100000023841858,-0.009999999776482582
54,Trevignon 1,2019-02-19T00:00:00,0.30456480383872986,0.23999999463558197,0.20089174807071686,0.05999999865889549,1.100000023841858
55,Trevignon 1,2022-03-25T00:00:00,0.34800922870635986,0.3149999976158142,0.21671883761882782,0.04999999701976776,0.9899999499320984
56,Trevignon 1,2023-03-16T00:00:00,0.3268657326698303,0.26999998092651367,0.2089376598596573,0.04999999701976776,1.2200000286102295
57,Trevignon 2,2019-02-19T00:00:00,0.30456480383872986,0.23999999463558197,0.20089174807071686,0.05999999865889549,1.100000023841858
58,Trevignon 2,2022-03-25T00:00:00,0.34800922870635986,0.3149999976158142,0.21671883761882782,0.04999999701976776,0.9899999499320984
59,Trevignon 2,2023-03-16T00:00:00,0.3268657326698303,0.26999998092651367,0.2089376598596573,0.04999999701976776,1.2200000286102295
60,Meaban 2,2019-02-20T00:00:00,0.2222638726234436,0.1899999976158142,0.12050747126340866,0.04999999701976776,0.5899999737739563
61,Meaban 2,2022-03-24T00:00:00,0.24405093491077423,0.22999998927116394,0.1275177001953125,0.03999999910593033,0.5600000023841858
62,Meaban 2,2023-03-15T00:00:00,0.24771295487880707,0.22999998927116394,0.1256396621465683,0.05999999865889549,0.7699999809265137
63,Keraliou 1,2019-02-21T00:00:00,0.003041666466742754,0.0,0.004977553617209196,-0.009999999776482582,0.029999999329447746
64,Keraliou 1,2022-04-15T00:00:00,0.0031435182318091393,0.0,0.005089727696031332,-0.019999999552965164,0.019999999552965164
65,Keraliou 1,2023-03-18T00:00:00,0.0043750000186264515,0.0,0.006271490827202797,-0.009999999776482582,0.029999999329447746
66,Keraliou 2,2019-02-21T00:00:00,0.0017222220776602626,0.0,0.004839714616537094,-0.009999999776482582,0.029999999329447746
67,Keraliou 2,2022-04-15T00:00:00,0.00064814806682989,0.0,0.0036699853371828794,-0.019999999552965164,0.019999999552965164
68,Keraliou 2,2023-03-18T00:00:00,0.003069444326683879,0.0,0.00533808721229434,-0.009999999776482582,0.029999999329447746
69,Keraliou 3,2019-02-21T00:00:00,0.005685185082256794,0.009999999776482582,0.006039450876414776,0.0,0.04999999701976776
70,Keraliou 3,2022-04-15T00:00:00,0.004023147281259298,0.0,0.005525146145373583,-0.019999999552965164,0.029999999329447746
71,Keraliou 3,2023-03-18T00:00:00,0.006245370488613844,0.009999999776482582,0.00698708975687623,-0.009999999776482582,0.04999999701976776
72,Glenan 1,2019-02-19T00:00:00,-0.13811573386192322,-0.10999999940395355,0.10551204532384872,-0.6200000047683716,0.029999999329447746
73,Glenan 1,2022-03-26T00:00:00,-0.20461110770702362,-0.17999999225139618,0.12351951748132706,-0.6499999761581421,-0.019999999552965164
74,Glenan 1,2023-03-16T00:00:00,-0.15869444608688354,-0.12999999523162842,0.10545913130044937,-0.6899999976158142,0.019999999552965164
75,Glenan 3,2019-02-19T00:00:00,0.06626851111650467,0.04999999701976776,0.11929678916931152,-0.23999999463558197,0.550000011920929
76,Glenan 3,2022-03-26T00:00:00,0.18243518471717834,0.1599999964237213,0.17575180530548096,-0.5099999904632568,0.6699999570846558
77,Glenan 3,2023-03-16T00:00:00,0.18112961947917938,0.1599999964237213,0.1453903466463089,-0.29999998211860657,0.8499999642372131
78,Camaret 2,2019-02-22T00:00:00,-0.06081018224358559,-0.04999999701976776,0.04279625415802002,-0.20999999344348907,-0.009999999776482582
79,Camaret 2,2022-03-27T00:00:00,-0.05749073624610901,-0.04999999701976776,0.040082089602947235,-0.19999998807907104,0.0
80,Camaret 2,2023-03-18T00:00:00,-0.040111105889081955,-0.03999999910593033,0.023416252806782722,-0.1899999976158142,0.0
81,Molene 3,2019-02-22T00:00:00,-0.28813424706459045,-0.25999999046325684,0.27208366990089417,-1.1999999284744263,0.8999999761581421
82,Molene 3,2022-03-27T00:00:00,-0.35487037897109985,-0.32999998331069946,0.3614804446697235,-1.4800000190734863,0.7599999904632568
83,Molene 3,2023-03-19T00:00:00,-0.18595370650291443,-0.23999999463558197,0.3478453755378723,-1.149999976158142,0.6599999666213989
84,Trevignon 3,2019-02-19T00:00:00,0.21514351665973663,0.17000000178813934,0.14615434408187866,0.03999999910593033,0.8100000023841858
85,Trevignon 3,2022-03-25T00:00:00,0.25297221541404724,0.22999998927116394,0.16133947670459747,0.03999999910593033,0.75
86,Trevignon 3,2023-03-16T00:00:00,0.25886574387550354,0.20999999344348907,0.1696454882621765,0.03999999910593033,1.0
87,Meaban 3,2019-02-20T00:00:00,0.2222638726234436,0.1899999976158142,0.12050747126340866,0.04999999701976776,0.5899999737739563
88,Meaban 3,2022-03-24T00:00:00,0.24405093491077423,0.22999998927116394,0.1275177001953125,0.03999999910593033,0.5600000023841858
89,Meaban 3,2023-03-15T00:00:00,0.24771295487880707,0.22999998927116394,0.1256396621465683,0.05999999865889549,0.7699999809265137
